case_id,method,folder,image_path,file_name,caption_original,caption_xai,descripcion
image03,anchor,output_anchor,/Users/haojie/PycharmProjects/TFM-Personalized-XAI/Imagenes/output_anchor/image03_anchor.png,image03_anchor.png,"A snake with a dark, glossy body and a lighter underside coils gracefully on a rough, light-colored gravel surface, casting a subtle shadow.","This XAI visualization compares an original image of a snake with its masked anchor, superpixel segmentation, and an overlay highlighting the snake with a precision of 1.00 and coverage of 0.51, indicating areas of focus and segmentation accuracy for the snake's detection and analysis.","The base image shows: A snake with a dark, glossy body and a lighter underside coils gracefully on a rough, light-colored gravel surface, casting a subtle shadow.. Method anchor: Anchor Image identifies a set of superpixels that act as a sufficient rule for preserving the model prediction. The generated visualization can be visually described as: This XAI visualization compares an original image of a snake with its masked anchor, superpixel segmentation, and an overlay highlighting the snake with a precision of 1.00 and coverage of 0.51, indicating areas of focus and segmentation accuracy for the snake's detection and analysis.. Anchor metadata: predicted class 'thunder snake', probability 0.403, precision 1.000, coverage 0.511, anchor superpixels [2]."
image03,gradcam,output_gradcam,/Users/haojie/PycharmProjects/TFM-Personalized-XAI/Imagenes/output_gradcam/image03_gradcam.png,image03_gradcam.png,"A snake with a dark, glossy body and a lighter underside coils gracefully on a rough, light-colored gravel surface, casting a subtle shadow.","This XAI visualization compares an original image of a snake on a sandy surface with a heatmap and an overlay, highlighting the central area of the snake with warm, bright colors, indicating a high confidence score of 6.71 for the classification as a ""thunder snake,"" suggesting the model focuses on the snake's body for accurate identification.","The base image shows: A snake with a dark, glossy body and a lighter underside coils gracefully on a rough, light-colored gravel surface, casting a subtle shadow.. Method gradcam: Grad-CAM highlights the warm regions of the map as the most relevant areas, indicating the parts of the image that most influenced the predicted class. The generated visualization can be visually described as: This XAI visualization compares an original image of a snake on a sandy surface with a heatmap and an overlay, highlighting the central area of the snake with warm, bright colors, indicating a high confidence score of 6.71 for the classification as a ""thunder snake,"" suggesting the model focuses on the snake's body for accurate identification.."
image03,integrated_gradients,output_ig,/Users/haojie/PycharmProjects/TFM-Personalized-XAI/Imagenes/output_ig/image03_ig.png,image03_ig.png,"A snake with a dark, glossy body and a lighter underside coils gracefully on a rough, light-colored gravel surface, casting a subtle shadow.","This XAI visualization compares an original image of a snake with its Integrated Gradients (IG) absolute value heatmap, showing a focus on the snake's body and head, particularly highlighting the textured scales and distinct patterns, which are then overlaid onto the original image to emphasize the model's attention to these features, suggesting their importance in identifying the snake as a ""thunder snake"" with a confidence score of 0.40.","The base image shows: A snake with a dark, glossy body and a lighter underside coils gracefully on a rough, light-colored gravel surface, casting a subtle shadow.. Method integrated_gradients: Integrated Gradients assigns importance to pixels by comparing the image with a baseline reference; the most intense regions concentrate the strongest contribution to the prediction. The generated visualization can be visually described as: This XAI visualization compares an original image of a snake with its Integrated Gradients (IG) absolute value heatmap, showing a focus on the snake's body and head, particularly highlighting the textured scales and distinct patterns, which are then overlaid onto the original image to emphasize the model's attention to these features, suggesting their importance in identifying the snake as a ""thunder snake"" with a confidence score of 0.40.."
image03,lime,output_lime,/Users/haojie/PycharmProjects/TFM-Personalized-XAI/Imagenes/output_lime/image03_lime.png,image03_lime.png,"A snake with a dark, glossy body and a lighter underside coils gracefully on a rough, light-colored gravel surface, casting a subtle shadow.","This XAI visualization compares an original image of a snake with a superpixel mask and a LIME explanation, highlighting the snake's body and tail in yellow, indicating areas of high importance for the model's classification of the snake as a ""thunder snake"" with a confidence score of 0.40, suggesting the model focuses on the snake's shape and texture for identification.","The base image shows: A snake with a dark, glossy body and a lighter underside coils gracefully on a rough, light-colored gravel surface, casting a subtle shadow.. Method lime: LIME divides the image into superpixels and marks the regions that most support the model prediction. The generated visualization can be visually described as: This XAI visualization compares an original image of a snake with a superpixel mask and a LIME explanation, highlighting the snake's body and tail in yellow, indicating areas of high importance for the model's classification of the snake as a ""thunder snake"" with a confidence score of 0.40, suggesting the model focuses on the snake's shape and texture for identification.."
image03,original,original,/Users/haojie/PycharmProjects/TFM-Personalized-XAI/Imagenes/original/image03.jpg,image03.jpg,"A snake with a dark, glossy body and a lighter underside coils gracefully on a rough, light-colored gravel surface, casting a subtle shadow.",,"The base image shows: A snake with a dark, glossy body and a lighter underside coils gracefully on a rough, light-colored gravel surface, casting a subtle shadow.. Original image used as the reference for comparing the XAI explanations."
image03,saliency,output_saliency,/Users/haojie/PycharmProjects/TFM-Personalized-XAI/Imagenes/output_saliency/image03_saliency.png,image03_saliency.png,"A snake with a dark, glossy body and a lighter underside coils gracefully on a rough, light-colored gravel surface, casting a subtle shadow.","This XAI visualization compares an original image of a snake on a sandy surface with its saliency map and an overlay indicating the presence of a ""thunder snake"" with a logit score of 6.71, highlighting the snake's body in warm, bright regions, suggesting the model's focus on the snake as the primary subject of interest.","The base image shows: A snake with a dark, glossy body and a lighter underside coils gracefully on a rough, light-colored gravel surface, casting a subtle shadow.. Method saliency: Saliency Maps highlight the pixels where small changes would most affect the model output; brighter areas indicate greater sensitivity. The generated visualization can be visually described as: This XAI visualization compares an original image of a snake on a sandy surface with its saliency map and an overlay indicating the presence of a ""thunder snake"" with a logit score of 6.71, highlighting the snake's body in warm, bright regions, suggesting the model's focus on the snake as the primary subject of interest.."
image04,anchor,output_anchor,/Users/haojie/PycharmProjects/TFM-Personalized-XAI/Imagenes/output_anchor/image04_anchor.png,image04_anchor.png,"A small spider with a dark, glossy body and slender legs is perched on a green leaf with white speckles, set against a neutral background with a scale bar in the top left corner.","This XAI visualization compares an original image of a wolf spider with its masked anchor, superpixel segmentation, and an overlay highlighting the spider with a precision of 1.00 and coverage of 0.01, indicating a focused and accurate segmentation process that isolates the spider from its background effectively.","The base image shows: A small spider with a dark, glossy body and slender legs is perched on a green leaf with white speckles, set against a neutral background with a scale bar in the top left corner.. Method anchor: Anchor Image identifies a set of superpixels that act as a sufficient rule for preserving the model prediction. The generated visualization can be visually described as: This XAI visualization compares an original image of a wolf spider with its masked anchor, superpixel segmentation, and an overlay highlighting the spider with a precision of 1.00 and coverage of 0.01, indicating a focused and accurate segmentation process that isolates the spider from its background effectively.. Anchor metadata: predicted class 'wolf spider', probability 0.211, precision 1.000, coverage 0.005, anchor superpixels [8, 2, 4, 7, 6, 11, 10]."
image04,gradcam,output_gradcam,/Users/haojie/PycharmProjects/TFM-Personalized-XAI/Imagenes/output_gradcam/image04_gradcam.png,image04_gradcam.png,"A small spider with a dark, glossy body and slender legs is perched on a green leaf with white speckles, set against a neutral background with a scale bar in the top left corner.","This XAI visualization compares an original image of a wolf spider with a heatmap and an overlay, highlighting the spider's body and legs in warm, bright colors, indicating areas of high importance or confidence (logit=6.21), suggesting the model's focus on these features for accurate identification.","The base image shows: A small spider with a dark, glossy body and slender legs is perched on a green leaf with white speckles, set against a neutral background with a scale bar in the top left corner.. Method gradcam: Grad-CAM highlights the warm regions of the map as the most relevant areas, indicating the parts of the image that most influenced the predicted class. The generated visualization can be visually described as: This XAI visualization compares an original image of a wolf spider with a heatmap and an overlay, highlighting the spider's body and legs in warm, bright colors, indicating areas of high importance or confidence (logit=6.21), suggesting the model's focus on these features for accurate identification.."
image04,integrated_gradients,output_ig,/Users/haojie/PycharmProjects/TFM-Personalized-XAI/Imagenes/output_ig/image04_ig.png,image04_ig.png,"A small spider with a dark, glossy body and slender legs is perched on a green leaf with white speckles, set against a neutral background with a scale bar in the top left corner.","This XAI visualization compares an original image of a wolf spider with its IG |abs| (gris) representation, IG heatmap, and an overlay, highlighting the spider's features with warm, bright regions that suggest areas of high importance or saliency, particularly around the spider's legs and body, indicating key visual elements contributing to its identification.","The base image shows: A small spider with a dark, glossy body and slender legs is perched on a green leaf with white speckles, set against a neutral background with a scale bar in the top left corner.. Method integrated_gradients: Integrated Gradients assigns importance to pixels by comparing the image with a baseline reference; the most intense regions concentrate the strongest contribution to the prediction. The generated visualization can be visually described as: This XAI visualization compares an original image of a wolf spider with its IG |abs| (gris) representation, IG heatmap, and an overlay, highlighting the spider's features with warm, bright regions that suggest areas of high importance or saliency, particularly around the spider's legs and body, indicating key visual elements contributing to its identification.."
image04,lime,output_lime,/Users/haojie/PycharmProjects/TFM-Personalized-XAI/Imagenes/output_lime/image04_lime.png,image04_lime.png,"A small spider with a dark, glossy body and slender legs is perched on a green leaf with white speckles, set against a neutral background with a scale bar in the top left corner.","This XAI visualization compares an original image of a wolf spider on a leaf with a superpixel mask and a LIME explanation, highlighting the spider's body and legs in yellow, indicating their importance in the model's decision-making process, suggesting these features are key for identifying the spider.","The base image shows: A small spider with a dark, glossy body and slender legs is perched on a green leaf with white speckles, set against a neutral background with a scale bar in the top left corner.. Method lime: LIME divides the image into superpixels and marks the regions that most support the model prediction. The generated visualization can be visually described as: This XAI visualization compares an original image of a wolf spider on a leaf with a superpixel mask and a LIME explanation, highlighting the spider's body and legs in yellow, indicating their importance in the model's decision-making process, suggesting these features are key for identifying the spider.."
image04,original,original,/Users/haojie/PycharmProjects/TFM-Personalized-XAI/Imagenes/original/image04.jpg,image04.jpg,"A small spider with a dark, glossy body and slender legs is perched on a green leaf with white speckles, set against a neutral background with a scale bar in the top left corner.",,"The base image shows: A small spider with a dark, glossy body and slender legs is perched on a green leaf with white speckles, set against a neutral background with a scale bar in the top left corner.. Original image used as the reference for comparing the XAI explanations."
image04,saliency,output_saliency,/Users/haojie/PycharmProjects/TFM-Personalized-XAI/Imagenes/output_saliency/image04_saliency.png,image04_saliency.png,"A small spider with a dark, glossy body and slender legs is perched on a green leaf with white speckles, set against a neutral background with a scale bar in the top left corner.","This XAI visualization compares an original image of a wolf spider on a leaf with its saliency map and an overlay, highlighting the spider's features in bright blue regions, indicating areas of high importance for the model's classification decision, suggesting the spider's distinct characteristics are key to its identification.","The base image shows: A small spider with a dark, glossy body and slender legs is perched on a green leaf with white speckles, set against a neutral background with a scale bar in the top left corner.. Method saliency: Saliency Maps highlight the pixels where small changes would most affect the model output; brighter areas indicate greater sensitivity. The generated visualization can be visually described as: This XAI visualization compares an original image of a wolf spider on a leaf with its saliency map and an overlay, highlighting the spider's features in bright blue regions, indicating areas of high importance for the model's classification decision, suggesting the spider's distinct characteristics are key to its identification.."
image05,anchor,output_anchor,/Users/haojie/PycharmProjects/TFM-Personalized-XAI/Imagenes/output_anchor/image05_anchor.png,image05_anchor.png,"A vibrant blue butterfly rests on a leafy plant, its wings shimmering in contrast to the grayscale background, surrounded by various foliage and delicate white flowers.","This XAI visualization compares an original image of a butterfly with its masked version, superpixel segmentation, and an overlay highlighting the butterfly with precision of 1.00 and coverage of 0.07, indicating a focus on the butterfly's accurate identification and minimal surrounding area inclusion.","The base image shows: A vibrant blue butterfly rests on a leafy plant, its wings shimmering in contrast to the grayscale background, surrounded by various foliage and delicate white flowers.. Method anchor: Anchor Image identifies a set of superpixels that act as a sufficient rule for preserving the model prediction. The generated visualization can be visually described as: This XAI visualization compares an original image of a butterfly with its masked version, superpixel segmentation, and an overlay highlighting the butterfly with precision of 1.00 and coverage of 0.07, indicating a focus on the butterfly's accurate identification and minimal surrounding area inclusion.. Anchor metadata: predicted class 'bee', probability 0.075, precision 1.000, coverage 0.066, anchor superpixels [1, 2, 5, 4]."
image05,gradcam,output_gradcam,/Users/haojie/PycharmProjects/TFM-Personalized-XAI/Imagenes/output_gradcam/image05_gradcam.png,image05_gradcam.png,"A vibrant blue butterfly rests on a leafy plant, its wings shimmering in contrast to the grayscale background, surrounded by various foliage and delicate white flowers.","This XAI visualization compares an original grayscale image of a butterfly with a heatmap and an overlay, highlighting the butterfly's presence with warm, bright regions, indicating a high confidence score (logit=4.80), suggesting the model accurately identifies the butterfly as the focal point of interest.","The base image shows: A vibrant blue butterfly rests on a leafy plant, its wings shimmering in contrast to the grayscale background, surrounded by various foliage and delicate white flowers.. Method gradcam: Grad-CAM highlights the warm regions of the map as the most relevant areas, indicating the parts of the image that most influenced the predicted class. The generated visualization can be visually described as: This XAI visualization compares an original grayscale image of a butterfly with a heatmap and an overlay, highlighting the butterfly's presence with warm, bright regions, indicating a high confidence score (logit=4.80), suggesting the model accurately identifies the butterfly as the focal point of interest.."
image05,integrated_gradients,output_ig,/Users/haojie/PycharmProjects/TFM-Personalized-XAI/Imagenes/output_ig/image05_ig.png,image05_ig.png,"A vibrant blue butterfly rests on a leafy plant, its wings shimmering in contrast to the grayscale background, surrounded by various foliage and delicate white flowers.","This XAI visualization compares an original grayscale image of a butterfly on leaves with its Integrated Gradients (IG) absolute value heatmap, showing concentrated blue highlights around the butterfly and leaf edges, and an overlay indicating a bee detection confidence of 0.08, suggesting the model's focus on the butterfly's features while also identifying a low-confidence bee presence.","The base image shows: A vibrant blue butterfly rests on a leafy plant, its wings shimmering in contrast to the grayscale background, surrounded by various foliage and delicate white flowers.. Method integrated_gradients: Integrated Gradients assigns importance to pixels by comparing the image with a baseline reference; the most intense regions concentrate the strongest contribution to the prediction. The generated visualization can be visually described as: This XAI visualization compares an original grayscale image of a butterfly on leaves with its Integrated Gradients (IG) absolute value heatmap, showing concentrated blue highlights around the butterfly and leaf edges, and an overlay indicating a bee detection confidence of 0.08, suggesting the model's focus on the butterfly's features while also identifying a low-confidence bee presence.."
image05,lime,output_lime,/Users/haojie/PycharmProjects/TFM-Personalized-XAI/Imagenes/output_lime/image05_lime.png,image05_lime.png,"A vibrant blue butterfly rests on a leafy plant, its wings shimmering in contrast to the grayscale background, surrounded by various foliage and delicate white flowers.","This XAI visualization compares an original image of a butterfly on leaves with a superpixel mask and a LIME bee explanation, highlighting the butterfly and its immediate surroundings in yellow, indicating the model's focus on these areas as key features for identifying the butterfly.","The base image shows: A vibrant blue butterfly rests on a leafy plant, its wings shimmering in contrast to the grayscale background, surrounded by various foliage and delicate white flowers.. Method lime: LIME divides the image into superpixels and marks the regions that most support the model prediction. The generated visualization can be visually described as: This XAI visualization compares an original image of a butterfly on leaves with a superpixel mask and a LIME bee explanation, highlighting the butterfly and its immediate surroundings in yellow, indicating the model's focus on these areas as key features for identifying the butterfly.."
image05,original,original,/Users/haojie/PycharmProjects/TFM-Personalized-XAI/Imagenes/original/image05.jpg,image05.jpg,"A vibrant blue butterfly rests on a leafy plant, its wings shimmering in contrast to the grayscale background, surrounded by various foliage and delicate white flowers.",,"The base image shows: A vibrant blue butterfly rests on a leafy plant, its wings shimmering in contrast to the grayscale background, surrounded by various foliage and delicate white flowers.. Original image used as the reference for comparing the XAI explanations."
image05,saliency,output_saliency,/Users/haojie/PycharmProjects/TFM-Personalized-XAI/Imagenes/output_saliency/image05_saliency.png,image05_saliency.png,"A vibrant blue butterfly rests on a leafy plant, its wings shimmering in contrast to the grayscale background, surrounded by various foliage and delicate white flowers.","This XAI visualization compares an original grayscale image of a butterfly on a plant with a saliency map highlighting areas of interest in blue, and an overlay indicating the presence of a bee with a logit score of 4.80, marked by bright green spots, suggesting the model's focus on specific regions related to the bee's detection.","The base image shows: A vibrant blue butterfly rests on a leafy plant, its wings shimmering in contrast to the grayscale background, surrounded by various foliage and delicate white flowers.. Method saliency: Saliency Maps highlight the pixels where small changes would most affect the model output; brighter areas indicate greater sensitivity. The generated visualization can be visually described as: This XAI visualization compares an original grayscale image of a butterfly on a plant with a saliency map highlighting areas of interest in blue, and an overlay indicating the presence of a bee with a logit score of 4.80, marked by bright green spots, suggesting the model's focus on specific regions related to the bee's detection.."
image06,anchor,output_anchor,/Users/haojie/PycharmProjects/TFM-Personalized-XAI/Imagenes/output_anchor/image06_anchor.png,image06_anchor.png,"A majestic white tiger with distinct black stripes stands alert on a rocky surface, surrounded by lush green foliage and trees in a naturalistic setting.","This XAI visualization compares an original image of a white tiger with its masked anchor representation, segmented superpixels, and an overlay highlighting the tiger with a precision of 1.00 and coverage of 0.50, indicating areas of focus and segmentation accuracy for explainable AI analysis.","The base image shows: A majestic white tiger with distinct black stripes stands alert on a rocky surface, surrounded by lush green foliage and trees in a naturalistic setting.. Method anchor: Anchor Image identifies a set of superpixels that act as a sufficient rule for preserving the model prediction. The generated visualization can be visually described as: This XAI visualization compares an original image of a white tiger with its masked anchor representation, segmented superpixels, and an overlay highlighting the tiger with a precision of 1.00 and coverage of 0.50, indicating areas of focus and segmentation accuracy for explainable AI analysis.. Anchor metadata: predicted class 'tiger', probability 0.382, precision 1.000, coverage 0.504, anchor superpixels [4]."
image06,gradcam,output_gradcam,/Users/haojie/PycharmProjects/TFM-Personalized-XAI/Imagenes/output_gradcam/image06_gradcam.png,image06_gradcam.png,"A majestic white tiger with distinct black stripes stands alert on a rocky surface, surrounded by lush green foliage and trees in a naturalistic setting.","This XAI visualization compares an original image of a white tiger with a heatmap and an overlay, highlighting the tiger's body with warm, bright colors, indicating areas of high importance or confidence in the model's classification, suggesting the tiger is the primary focus of the analysis.","The base image shows: A majestic white tiger with distinct black stripes stands alert on a rocky surface, surrounded by lush green foliage and trees in a naturalistic setting.. Method gradcam: Grad-CAM highlights the warm regions of the map as the most relevant areas, indicating the parts of the image that most influenced the predicted class. The generated visualization can be visually described as: This XAI visualization compares an original image of a white tiger with a heatmap and an overlay, highlighting the tiger's body with warm, bright colors, indicating areas of high importance or confidence in the model's classification, suggesting the tiger is the primary focus of the analysis.."
