response_id,participant_id,age_range,education_level,occupation_category,ai_knowledge_level,domain_knowledge_level,image_id,image_label,domain,model_predicted_class,selected_option,selected_method,satisfaction,confidence,understanding,mean_helpfulness,preferred_response_length,preferred_technical_level,preferred_format,preferred_explanation_types,main_goals,perceived_error_impact
R0011,P025,18–24,Grado,"Estudiante, Investigador/a (académico)",5,3,6,img_06,Naturaleza / animales,Tigre,Opción A,Anchor,4,4,4,4.0,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto detallado + imagen,"Explicaciones con comparaciones o contraejemplos, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Educación: aprender más sobre la imagen, el problema o el funcionamiento del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa",Alto: el error podría tener consecuencias importantes
R0012,P014,18–24,Grado,"Estudiante, Otro / texto libre anonimizado",5,2,10,img_10,Naturaleza / animales,Elefante,Opción C,Integrated Gradients,3,3,3,3.0,Corta: solo lo esencial,Técnico: explicación más especializada y precisa,Texto breve + imagen,"Explicaciones con ejemplos similares, Explicaciones con comparaciones o contraejemplos, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Satisfacción: que la explicación resulte clara y útil para ti, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Educación: aprender más sobre la imagen, el problema o el funcionamiento del sistema",Alto: el error podría tener consecuencias importantes
R0013,P008,18–24,Bachillerato/FP,Estudiante,2,2,4,img_04,Naturaleza / animales,Araña,Opción E,Saliency,3,3,3,3.0,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,Explicaciones con comparaciones o contraejemplos,"Efectividad: recibir una explicación útil para realizar mejor la tarea, Satisfacción: que la explicación resulte clara y útil para ti",Medio: el error podría causar cierta confusión o problema
R0014,P002,18–24,Grado,"Estudiante, Profesional del sector tecnológico / IA / datos",4,3,5,img_05,Naturaleza / animales,Mariposa,Opción C,Integrated Gradients,3,2,4,3.0,Larga: explicación completa y detallada,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto detallado + imagen,"Explicaciones con comparaciones o contraejemplos, Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema, Efectividad: recibir una explicación útil para realizar mejor la tarea, Satisfacción: que la explicación resulte clara y útil para ti, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Educación: aprender más sobre la imagen, el problema o el funcionamiento del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa",Medio: el error podría causar cierta confusión o problema
R0015,P014,18–24,Grado,"Estudiante, Otro / texto libre anonimizado",5,2,8,img_08,Naturaleza / animales,Mariposa,Opción C,Integrated Gradients,2,2,3,2.3333333333333335,Corta: solo lo esencial,Técnico: explicación más especializada y precisa,Texto breve + imagen,"Explicaciones con ejemplos similares, Explicaciones con comparaciones o contraejemplos, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Satisfacción: que la explicación resulte clara y útil para ti, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Educación: aprender más sobre la imagen, el problema o el funcionamiento del sistema",Alto: el error podría tener consecuencias importantes
R0016,P027,18–24,Master,"Estudiante, Investigador/a (académico), Docente / profesor/a",5,3,6,img_06,Naturaleza / animales,Tigre,Opción A,Anchor,4,4,4,4.0,Corta: solo lo esencial,Simple: lenguaje claro y sin tecnicismos,Texto breve + imagen,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema, Satisfacción: que la explicación resulte clara y útil para ti, Persuasión: convencerte de que la decisión del sistema está justificada, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema",Bajo: el error apenas tendría consecuencias
R0017,P027,18–24,Master,"Estudiante, Investigador/a (académico), Docente / profesor/a",5,3,7,img_07,Naturaleza / animales,Pajaro,Opción E,Saliency,3,3,2,2.6666666666666665,Corta: solo lo esencial,Simple: lenguaje claro y sin tecnicismos,Texto breve + imagen,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema, Satisfacción: que la explicación resulte clara y útil para ti, Persuasión: convencerte de que la decisión del sistema está justificada, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema",Bajo: el error apenas tendría consecuencias
R0018,P002,18–24,Grado,"Estudiante, Profesional del sector tecnológico / IA / datos",4,3,8,img_08,Naturaleza / animales,Mariposa,Opción C,Integrated Gradients,4,5,5,4.666666666666667,Larga: explicación completa y detallada,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto detallado + imagen,"Explicaciones con comparaciones o contraejemplos, Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema, Efectividad: recibir una explicación útil para realizar mejor la tarea, Satisfacción: que la explicación resulte clara y útil para ti, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Educación: aprender más sobre la imagen, el problema o el funcionamiento del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa",Medio: el error podría causar cierta confusión o problema
R0019,P003,18–24,Grado,Estudiante,4,4,4,img_04,Naturaleza / animales,Araña,Opción C,Integrated Gradients,4,5,4,4.333333333333333,Corta: solo lo esencial,Simple: lenguaje claro y sin tecnicismos,Me da igual,No tengo preferencia / me da igual,"Eficiencia: comprender la respuesta de forma rápida, Confianza: sentir mayor seguridad en la respuesta del sistema",Medio: el error podría causar cierta confusión o problema
R0020,P019,18–24,Grado,Estudiante,4,3,7,img_07,Naturaleza / animales,Pajaro,Opción F (Ninguna),Ninguna,1,1,1,1.0,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones con ejemplos similares, Explicaciones con comparaciones o contraejemplos, Explicaciones visuales (zonas destacadas en la imagen)","Eficiencia: comprender la respuesta de forma rápida, Satisfacción: que la explicación resulte clara y útil para ti, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema",Medio: el error podría causar cierta confusión o problema
R0021,P017,18–24,Grado,"Estudiante, Investigador/a (académico)",4,2,9,img_09,Naturaleza / animales,Aguila,Opción B,Grad-CAM,3,4,2,3.0,Larga: explicación completa y detallada,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Principalmente visual,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Eficiencia: comprender la respuesta de forma rápida, Satisfacción: que la explicación resulte clara y útil para ti",Medio: el error podría causar cierta confusión o problema
R0022,P020,25–34,Doctorado,"Investigador/a (académico), Docente / profesor/a",5,2,5,img_05,Naturaleza / animales,Mariposa,Opción A,Anchor,2,3,3,2.6666666666666665,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto detallado + imagen,"Explicaciones con ejemplos similares, Explicaciones con comparaciones o contraejemplos, Explicaciones centradas en atributos o características concretas","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema, Efectividad: recibir una explicación útil para realizar mejor la tarea, Satisfacción: que la explicación resulte clara y útil para ti",Alto: el error podría tener consecuencias importantes
R0023,P006,18–24,Bachillerato/FP,Estudiante,4,3,7,img_07,Naturaleza / animales,Pajaro,Opción D,LIME,2,3,3,2.6666666666666665,Corta: solo lo esencial,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones con comparaciones o contraejemplos, Explicaciones centradas en atributos o características concretas, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Eficiencia: comprender la respuesta de forma rápida, Satisfacción: que la explicación resulte clara y útil para ti, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa",Alto: el error podría tener consecuencias importantes
R0024,P021,18–24,Grado,"Estudiante, Investigador/a (académico)",4,3,8,img_08,Naturaleza / animales,Mariposa,Opción B,Grad-CAM,5,5,5,5.0,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema",Alto: el error podría tener consecuencias importantes
R0025,P008,18–24,Bachillerato/FP,Estudiante,2,2,6,img_06,Naturaleza / animales,Tigre,Opción C,Integrated Gradients,3,3,3,3.0,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,Explicaciones con comparaciones o contraejemplos,"Efectividad: recibir una explicación útil para realizar mejor la tarea, Satisfacción: que la explicación resulte clara y útil para ti",Medio: el error podría causar cierta confusión o problema
R0026,P016,35–44,Grado,Desempleado/a / en búsqueda,4,2,4,img_04,Naturaleza / animales,Araña,Opción B,Grad-CAM,4,5,5,4.666666666666667,Corta: solo lo esencial,Simple: lenguaje claro y sin tecnicismos,Texto breve + imagen,"Explicaciones con ejemplos similares, Explicaciones con comparaciones o contraejemplos, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Eficiencia: comprender la respuesta de forma rápida, Confianza: sentir mayor seguridad en la respuesta del sistema, Efectividad: recibir una explicación útil para realizar mejor la tarea, Satisfacción: que la explicación resulte clara y útil para ti, Persuasión: convencerte de que la decisión del sistema está justificada, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Educación: aprender más sobre la imagen, el problema o el funcionamiento del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa",Medio: el error podría causar cierta confusión o problema
R0027,P025,18–24,Grado,"Estudiante, Investigador/a (académico)",5,3,11,img_11,Naturaleza / animales,Tortuga,Opción B,Grad-CAM,4,4,5,4.333333333333333,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto detallado + imagen,"Explicaciones con comparaciones o contraejemplos, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Educación: aprender más sobre la imagen, el problema o el funcionamiento del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa",Alto: el error podría tener consecuencias importantes
R0028,P011,18–24,Grado,Profesional de otro sector,4,2,9,img_09,Naturaleza / animales,Aguila,Opción B,Grad-CAM,3,4,3,3.3333333333333335,Media: explicación breve con algo de detalle,Simple: lenguaje claro y sin tecnicismos,Texto detallado + imagen,"Explicaciones con ejemplos similares, Explicaciones con comparaciones o contraejemplos, Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen), No tengo preferencia / me da igual","Transparencia: entender por qué el sistema tomó esa decisión, Efectividad: recibir una explicación útil para realizar mejor la tarea, Satisfacción: que la explicación resulte clara y útil para ti, Educación: aprender más sobre la imagen, el problema o el funcionamiento del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa",Medio: el error podría causar cierta confusión o problema
R0029,P001,25–34,Grado,Investigador/a (académico),3,3,7,img_07,Naturaleza / animales,Pajaro,Opción D,LIME,3,3,3,3.0,Media: explicación breve con algo de detalle,Simple: lenguaje claro y sin tecnicismos,Texto breve + imagen,"Explicaciones con ejemplos similares, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Eficiencia: comprender la respuesta de forma rápida, Efectividad: recibir una explicación útil para realizar mejor la tarea",Medio: el error podría causar cierta confusión o problema
R0030,P018,18–24,Grado,"Estudiante, Investigador/a (académico)",4,3,4,img_04,Naturaleza / animales,Araña,Opción E,Saliency,3,3,4,3.3333333333333335,Larga: explicación completa y detallada,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Principalmente visual,"Explicaciones con ejemplos similares, Explicaciones basadas en reglas o razonamientos paso a paso","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa",Alto: el error podría tener consecuencias importantes
R0031,P007,18–24,Grado,Estudiante,3,3,6,img_06,Naturaleza / animales,Tigre,Opción B,Grad-CAM,2,2,2,2.0,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Principalmente visual,"Explicaciones con comparaciones o contraejemplos, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Educación: aprender más sobre la imagen, el problema o el funcionamiento del sistema",Alto: el error podría tener consecuencias importantes
R0032,P015,18–24,Bachillerato/FP,Estudiante,3,3,10,img_10,Naturaleza / animales,Elefante,Opción E,Saliency,3,3,3,3.0,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones con ejemplos similares, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Confianza: sentir mayor seguridad en la respuesta del sistema, Efectividad: recibir una explicación útil para realizar mejor la tarea, Satisfacción: que la explicación resulte clara y útil para ti, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema",Medio: el error podría causar cierta confusión o problema
R0033,P023,18–24,Grado,Estudiante,3,2,6,img_06,Naturaleza / animales,Tigre,Opción A,Anchor,4,4,4,4.0,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones con ejemplos similares, Explicaciones con comparaciones o contraejemplos","Transparencia: entender por qué el sistema tomó esa decisión, Eficiencia: comprender la respuesta de forma rápida, Efectividad: recibir una explicación útil para realizar mejor la tarea, Satisfacción: que la explicación resulte clara y útil para ti",Medio: el error podría causar cierta confusión o problema
R0034,P023,18–24,Grado,Estudiante,3,2,4,img_04,Naturaleza / animales,Araña,Opción E,Saliency,3,3,4,3.3333333333333335,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones con ejemplos similares, Explicaciones con comparaciones o contraejemplos","Transparencia: entender por qué el sistema tomó esa decisión, Eficiencia: comprender la respuesta de forma rápida, Efectividad: recibir una explicación útil para realizar mejor la tarea, Satisfacción: que la explicación resulte clara y útil para ti",Medio: el error podría causar cierta confusión o problema
R0035,P014,18–24,Grado,"Estudiante, Otro / texto libre anonimizado",5,2,1,img_01,Naturaleza / animales,Aguila,Opción D,LIME,2,2,2,2.0,Corta: solo lo esencial,Técnico: explicación más especializada y precisa,Texto breve + imagen,"Explicaciones con ejemplos similares, Explicaciones con comparaciones o contraejemplos, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Satisfacción: que la explicación resulte clara y útil para ti, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Educación: aprender más sobre la imagen, el problema o el funcionamiento del sistema",Alto: el error podría tener consecuencias importantes
R0036,P020,25–34,Doctorado,"Investigador/a (académico), Docente / profesor/a",5,2,4,img_04,Naturaleza / animales,Araña,Opción C,Integrated Gradients,4,4,4,4.0,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto detallado + imagen,"Explicaciones con ejemplos similares, Explicaciones con comparaciones o contraejemplos, Explicaciones centradas en atributos o características concretas","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema, Efectividad: recibir una explicación útil para realizar mejor la tarea, Satisfacción: que la explicación resulte clara y útil para ti",Alto: el error podría tener consecuencias importantes
R0037,P017,18–24,Grado,"Estudiante, Investigador/a (académico)",4,2,10,img_10,Naturaleza / animales,Elefante,Opción B,Grad-CAM,4,4,4,4.0,Larga: explicación completa y detallada,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Principalmente visual,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Eficiencia: comprender la respuesta de forma rápida, Satisfacción: que la explicación resulte clara y útil para ti",Medio: el error podría causar cierta confusión o problema
R0038,P017,18–24,Grado,"Estudiante, Investigador/a (académico)",4,2,3,img_03,Naturaleza / animales,Serpiente,Opción A,Anchor,4,4,5,4.333333333333333,Larga: explicación completa y detallada,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Principalmente visual,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Eficiencia: comprender la respuesta de forma rápida, Satisfacción: que la explicación resulte clara y útil para ti",Medio: el error podría causar cierta confusión o problema
R0039,P009,18–24,Prefiero no contestar,Prefiero no contestar,1,2,11,img_11,Naturaleza / animales,Tortuga,Opción B,Grad-CAM,3,3,2,2.6666666666666665,Corta: solo lo esencial,Simple: lenguaje claro y sin tecnicismos,Me da igual,No tengo preferencia / me da igual,"Educación: aprender más sobre la imagen, el problema o el funcionamiento del sistema",Medio: el error podría causar cierta confusión o problema
R0040,P012,18–24,Master,Estudiante,4,3,11,img_11,Naturaleza / animales,Tortuga,Opción B,Grad-CAM,4,4,4,4.0,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones con ejemplos similares, Explicaciones con comparaciones o contraejemplos, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Eficiencia: comprender la respuesta de forma rápida, Confianza: sentir mayor seguridad en la respuesta del sistema",Medio: el error podría causar cierta confusión o problema
R0041,P002,18–24,Grado,"Estudiante, Profesional del sector tecnológico / IA / datos",4,3,6,img_06,Naturaleza / animales,Tigre,Opción A,Anchor,4,4,4,4.0,Larga: explicación completa y detallada,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto detallado + imagen,"Explicaciones con comparaciones o contraejemplos, Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema, Efectividad: recibir una explicación útil para realizar mejor la tarea, Satisfacción: que la explicación resulte clara y útil para ti, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Educación: aprender más sobre la imagen, el problema o el funcionamiento del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa",Medio: el error podría causar cierta confusión o problema
R0042,P009,18–24,Prefiero no contestar,Prefiero no contestar,1,2,1,img_01,Naturaleza / animales,Aguila,Opción E,Saliency,2,4,4,3.3333333333333335,Corta: solo lo esencial,Simple: lenguaje claro y sin tecnicismos,Me da igual,No tengo preferencia / me da igual,"Educación: aprender más sobre la imagen, el problema o el funcionamiento del sistema",Medio: el error podría causar cierta confusión o problema
R0043,P019,18–24,Grado,Estudiante,4,3,8,img_08,Naturaleza / animales,Mariposa,Opción F (Ninguna),Ninguna,1,1,1,1.0,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones con ejemplos similares, Explicaciones con comparaciones o contraejemplos, Explicaciones visuales (zonas destacadas en la imagen)","Eficiencia: comprender la respuesta de forma rápida, Satisfacción: que la explicación resulte clara y útil para ti, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema",Medio: el error podría causar cierta confusión o problema
R0044,P027,18–24,Master,"Estudiante, Investigador/a (académico), Docente / profesor/a",5,3,10,img_10,Naturaleza / animales,Elefante,Opción E,Saliency,4,4,4,4.0,Corta: solo lo esencial,Simple: lenguaje claro y sin tecnicismos,Texto breve + imagen,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema, Satisfacción: que la explicación resulte clara y útil para ti, Persuasión: convencerte de que la decisión del sistema está justificada, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema",Bajo: el error apenas tendría consecuencias
